Tỉnh,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Lâm Đồng,143.6,150.7,141.8,158.2,163.2,156.3,158,156.2,145.4,151.5,149.9,147.3,144.5,146.9
Bình Phước,41.5,45.5,46,42.9,47.2,44.9,42.6,42.4,39.4,39.6,42.6,40.3,41.6,38.3
Tây Ninh,705.3,717.8,738.8,762.4,778.1,742.3,740.9,760.8,760,788.9,813,806.7,798.8,809.4
Bình Dương,39.8,37.8,38.8,38.5,37.9,37,34.1,31.4,30.6,30.6,29.1,28.2,27,26.2
Đồng Nai,333.1,337.9,322.9,336.2,342.7,332.5,337.3,337.2,331.5,329.1,325.3,330.5,319.9,314.7
Bà Rịa - Vũng Tàu,85.5,95.3,84.5,95.4,99.7,99.1,105.6,116,120.7,122.1,129.8,136.2,131,139.5
TP.Hồ Chí Minh,110.9,100,91.7,85.8,93,90.3,88.6,88.3,85.2,86.4,79.1,81.2,83.6,83.7
Long An,2178.1,2158.6,2304.8,2550.7,2663.5,2816.1,2860.6,2918.7,2802.2,2643.2,2802.6,2774.9,2830.2,2925.6
Tiền Giang,1321,1308,1320.6,1332.8,1370,1348.7,1370.3,1344.4,1268.1,1249.3,1254.5,1123.1,801.2,836.2
Bến Tre,361.1,362.7,366.8,362.2,375,331.6,318.9,278.8,87.6,227.2,236.7,214.1,59.1,166.6
Trà Vinh,1086.7,1076.8,1156,1155.3,1258,1274.8,1326.9,1339.5,956.3,1137.4,1268,1258.9,939.7,1148.9
Vĩnh Long,896.1,911.4,928.9,1032.3,1079.6,1063.7,1087.2,1094.7,938.7,942.5,969.5,908.3,895.1,817.9
Đồng Tháp,2720.2,2650.4,2807,3100.2,3051.8,3327,3300,3384.5,3396.8,3206.8,3330.2,3349.8,3374.5,3339.8
An Giang,3513.8,3421.5,3653.1,3856.8,3941.6,4021.4,4022.9,4073.7,3974.7,3879.6,3926.9,3919.3,4014.1,4143
Kiên Giang,3387.2,3397.7,3497.1,3921.1,4287.1,4471.8,4532.2,4643,4161.6,4058.8,4267.4,4291.5,4528.5,4516.6
Cần Thơ,1198.5,1138.1,1196.7,1289.7,1319.8,1370.3,1367.7,1408.1,1397.8,1387.2,1426.3,1365.9,1393.2,1414.2
Hậu Giang,1020.1,993.8,1090.2,1128.5,1179.9,1191.3,1204.6,1293.1,1231,1261,1246.1,1259,1294.1,1274.4
Sóc Trăng,1739.5,1780.4,1966.6,2090.6,2251.8,2220,2265.3,2275.5,2115,2105.1,2132.7,2172.1,2079.8,2058.7
Bạc Liêu,764.4,820.3,809.5,908.9,986.7,1017.9,1037,1064.5,993.1,1064.9,1115.3,1147.6,1171.2,1226.5
Cà Mau,482.8,503.5,498.3,540.4,556,566.5,552,465.2,452,446,530.7,525.5,446.9,459
